Table,Description
circuits,"Stores information about F1 race circuits. Columns: circuitId, circuitRef, name, location, country, lat, lng, alt, url"
constructor_results,"Records constructor results for each race. Columns: constructorResultsId, raceId, constructorId, points, status"
constructors,"Contains F1 constructor team details. Columns: constructorId, constructorRef, name, nationality, url"
constructor_standings,"Holds the constructor standings per race. Columns: constructorStandingsId, raceId, constructorId, points, position, positionText, wins"
drivers,"Stores information about F1 drivers. Columns: driverId, driverRef, number, code, forename, surname, dob, nationality, url"
driver_standings,"Records driver standings for each race. Columns: driverStandingsId, raceId, driverId, points, position, positionText, wins"
lap_times,"Logs lap times for each driver in a race. Columns: raceId, driverId, lap, position, time, milliseconds"
pit_stops,"Captures pit stop details per race and driver. Columns: raceId, driverId, stop, lap, time, duration, milliseconds"
qualifying,"Holds qualifying round results for races. Columns: qualifyId, raceId, driverId, constructorId, number, position, q1, q2, q3"
races,"Contains information about F1 races. Columns: raceId, year, round, circuitId, name, date, time, url, fp1_date, fp1_time, fp2_date, fp2_time, fp3_date, fp3_time, quali_date, quali_time, sprint_date, sprint_time"
results,"Records the race results including driver and constructor performance. Columns: resultId, raceId, driverId, constructorId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, fastestLap, rank, fastestLapTime, fastestLapSpeed, statusId"
seasons,"Stores season information for the F1 championship. Columns: year, url"
status,"Defines the status values for race results. Columns: statusId, status"
sprint_results,"Stores the sprint results of the races. Columns: resultId, raceId, driverId, constructorId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, fastestLap, fastestLapTime, statusId"
